"X"	"A"	"F_risk"	"O_factor"	"imm_p"	"RRreport"	"knot1"	"knot2"	"beta1"	"log.density"
"4493"	4493	0.570832818658064	0.0483802963722327	0.3022978331631	0.88587153289482	0.836445492600425	8.49671324757856	10.4584102129379	0.719902865090686	-152.878719764071
"4499"	4499	0.573677466627455	0.0628059071764269	0.172644091051329	0.882232839006005	0.860746848475305	6.91647854277274	11.7055974695514	0.503710852040142	-152.290380869889
"4505"	4505	0.572785518774081	0.0706318370522893	0.231779685582248	0.881152390908302	0.704231106414261	6.21033229299817	12.2415723267058	0.409523039441272	-152.517136650214
"4511"	4511	0.581920124916471	0.0580480739722503	0.232982521134042	0.924292868224276	0.864171319600889	7.77862644251508	10.9829233043615	0.532207449712537	-151.889041455727
"4517"	4517	0.566475184811805	0.0663261089107855	0.261114258799526	0.911297471911315	0.714661430815702	6.07943834942833	10.2084557755919	0.55022373049015	-150.829986284306
"4523"	4523	0.563588336434821	0.0533657679377584	0.313582007952053	0.840621464805795	0.851871720828129	5.87452137880286	9.75597230981481	0.532916161643775	-154.852144360374
"4529"	4529	0.564902487465481	0.0602091314394835	0.232150670377819	0.852310811945754	0.825159099783155	5.18021664123986	10.712204705441	0.570861772320068	-154.239996599848
"4535"	4535	0.565942329132498	0.0492133266420136	0.338147979547829	0.868899531989991	0.811715257129582	5.57021361049432	10.0978750392864	0.644427448828028	-153.633750359302
"4541"	4541	0.573524183453245	0.061012139462287	0.282426475981098	0.949694610236343	0.832258593138406	1.80545511142113	10.0141089969372	0.735243326806047	-150.83783579491
"4547"	4547	0.563361017362988	0.0439014760346376	0.435885259187342	0.933810540746178	0.912233640315423	1.52649167615116	9.36543117313458	0.998101559237676	-150.544355896282
"4553"	4553	0.563361017362988	0.0439014760346376	0.435885259187342	0.933810540746178	0.912233640315423	1.52649167615116	9.36543117313458	0.998101559237676	-150.544355896282
"4559"	4559	0.564316654773796	0.0430050112813353	0.490917176948995	0.946428903224899	0.868955218867952	1.96581946103148	10.9310703986378	0.882700560896807	-150.550679019319
"4565"	4565	0.566239227925812	0.0476361596337121	0.454015118683136	0.938810681013363	0.871798873881006	1.10679569052357	11.6720132060845	0.851196312008394	-151.833577928085
"4571"	4571	0.557464000081155	0.0519261506114399	0.334181233478278	0.925618028146682	0.903993661802513	1.02510937496077	10.989916946668	0.959287242246928	-152.516068724059
"4577"	4577	0.572690051282657	0.0365014741367937	0.52128228775683	0.943565087948482	0.889204865768222	4.99210261868998	10.6330105538537	0.736193243676921	-150.825036207713
"4583"	4583	0.564140501784064	0.0380141842632978	0.50436907613835	0.944270880044893	0.948740927536585	3.79876957897377	10.7112549161257	0.775258775634192	-150.386443442971
"4589"	4589	0.562301205069054	0.0390855983224228	0.403150107166198	0.967426731064097	0.921983454957052	2.3529396866561	11.7796842130654	0.734038430964367	-153.132218246545
"4595"	4595	0.567145168640963	0.0332039234476534	0.475434104530224	0.935287147671112	0.991242865848613	2.11635944822831	12.2936708301337	0.600958955817776	-153.528685865028
"4601"	4601	0.56390934943806	0.0389310338048199	0.441587956422248	0.915423492216261	0.968953311961992	2.00295247162467	10.6081785056193	0.772022992713934	-151.280106841483
"4607"	4607	0.565271038819733	0.0468209120623137	0.361825631704927	0.94633825586292	0.923794610712648	3.35050469531494	9.63958160165575	0.766387544750323	-150.021558174931
