date,time,obs
13/03/2018,893,0
14/03/2018,894,0
15/03/2018,895,0
16/03/2018,896,0
17/03/2018,897,0
18/03/2018,898,0
19/03/2018,899,0
20/03/2018,900,0
21/03/2018,901,0
22/03/2018,902,0
23/03/2018,903,0
24/03/2018,904,0
25/03/2018,905,0
26/03/2018,906,0
27/03/2018,907,0
28/03/2018,908,0
29/03/2018,909,0
30/03/2018,910,0
31/03/2018,911,0
01/04/2018,912,0
02/04/2018,913,0
03/04/2018,914,0
04/04/2018,915,0
05/04/2018,916,0
06/04/2018,917,0
07/04/2018,918,0
08/04/2018,919,0
09/04/2018,920,0
10/04/2018,921,0
11/04/2018,922,0
12/04/2018,923,0
13/04/2018,924,0
14/04/2018,925,0
15/04/2018,926,0
16/04/2018,927,0
17/04/2018,928,0
18/04/2018,929,0
19/04/2018,930,0
20/04/2018,931,0
21/04/2018,932,0
22/04/2018,933,0
23/04/2018,934,0
24/04/2018,935,0
25/04/2018,936,0
26/04/2018,937,0
27/04/2018,938,0
28/04/2018,939,0
29/04/2018,940,0
30/04/2018,941,0
01/05/2018,942,0
02/05/2018,943,0
03/05/2018,944,0
04/05/2018,945,0
05/05/2018,946,0
06/05/2018,947,0
07/05/2018,948,0
08/05/2018,949,0
09/05/2018,950,0
10/05/2018,951,0
11/05/2018,952,0
12/05/2018,953,0
13/05/2018,954,0
14/05/2018,955,0
15/05/2018,956,0
16/05/2018,957,0
17/05/2018,958,0
18/05/2018,959,0
19/05/2018,960,0
20/05/2018,961,0
21/05/2018,962,0
22/05/2018,963,0
23/05/2018,964,0
24/05/2018,965,0
25/05/2018,966,0
26/05/2018,967,0
27/05/2018,968,0
28/05/2018,969,0
29/05/2018,970,0
30/05/2018,971,0
31/05/2018,972,0
01/06/2018,973,0
02/06/2018,974,0
03/06/2018,975,0
04/06/2018,976,0
05/06/2018,977,0
06/06/2018,978,0
07/06/2018,979,0
08/06/2018,980,0
09/06/2018,981,0
10/06/2018,982,0
11/06/2018,983,0
12/06/2018,984,0
13/06/2018,985,0
14/06/2018,986,0
15/06/2018,987,0
16/06/2018,988,0
17/06/2018,989,0
18/06/2018,990,0
19/06/2018,991,0
20/06/2018,992,0
21/06/2018,993,0
22/06/2018,994,0
23/06/2018,995,0
24/06/2018,996,0
25/06/2018,997,0
26/06/2018,998,0
27/06/2018,999,0
28/06/2018,1000,0
29/06/2018,1001,0
30/06/2018,1002,0
01/07/2018,1003,0
02/07/2018,1004,0
03/07/2018,1005,0
04/07/2018,1006,0
05/07/2018,1007,0
06/07/2018,1008,0
07/07/2018,1009,0
08/07/2018,1010,0
09/07/2018,1011,0
10/07/2018,1012,0
11/07/2018,1013,0
12/07/2018,1014,0
13/07/2018,1015,0
14/07/2018,1016,0
15/07/2018,1017,0
16/07/2018,1018,0
17/07/2018,1019,0
18/07/2018,1020,0
19/07/2018,1021,0
20/07/2018,1022,0
21/07/2018,1023,0
22/07/2018,1024,0
23/07/2018,1025,0
24/07/2018,1026,0
25/07/2018,1027,0
26/07/2018,1028,0
27/07/2018,1029,0
28/07/2018,1030,0
29/07/2018,1031,0
30/07/2018,1032,0
31/07/2018,1033,0
01/08/2018,1034,0
02/08/2018,1035,0
03/08/2018,1036,0
04/08/2018,1037,0
05/08/2018,1038,0
06/08/2018,1039,0
07/08/2018,1040,0
08/08/2018,1041,0
09/08/2018,1042,0
10/08/2018,1043,0
11/08/2018,1044,0
12/08/2018,1045,0
13/08/2018,1046,0
14/08/2018,1047,0
15/08/2018,1048,0
16/08/2018,1049,0
17/08/2018,1050,0
18/08/2018,1051,0
19/08/2018,1052,0
20/08/2018,1053,0
21/08/2018,1054,0
22/08/2018,1055,0
23/08/2018,1056,0
24/08/2018,1057,0
25/08/2018,1058,0
26/08/2018,1059,0
27/08/2018,1060,0
28/08/2018,1061,0
29/08/2018,1062,0
30/08/2018,1063,0
31/08/2018,1064,0
01/09/2018,1065,0
02/09/2018,1066,0
03/09/2018,1067,0
04/09/2018,1068,0
05/09/2018,1069,0
06/09/2018,1070,0
07/09/2018,1071,0
08/09/2018,1072,0
09/09/2018,1073,0
10/09/2018,1074,0
11/09/2018,1075,0
12/09/2018,1076,0
13/09/2018,1077,0
14/09/2018,1078,0
15/09/2018,1079,0
16/09/2018,1080,0
17/09/2018,1081,0
18/09/2018,1082,0
19/09/2018,1083,0
20/09/2018,1084,0
21/09/2018,1085,0
22/09/2018,1086,0
23/09/2018,1087,0
24/09/2018,1088,0
25/09/2018,1089,0
26/09/2018,1090,0
27/09/2018,1091,0
28/09/2018,1092,0
29/09/2018,1093,0
30/09/2018,1094,0
01/10/2018,1095,0
02/10/2018,1096,0
03/10/2018,1097,0
04/10/2018,1098,0
05/10/2018,1099,0
06/10/2018,1100,0
07/10/2018,1101,0
08/10/2018,1102,0
09/10/2018,1103,0
10/10/2018,1104,0
11/10/2018,1105,0
12/10/2018,1106,0
13/10/2018,1107,0
14/10/2018,1108,0
15/10/2018,1109,0
16/10/2018,1110,0
17/10/2018,1111,0
18/10/2018,1112,0
19/10/2018,1113,0
20/10/2018,1114,0
21/10/2018,1115,0
22/10/2018,1116,0
23/10/2018,1117,0
24/10/2018,1118,0
25/10/2018,1119,0
26/10/2018,1120,0
27/10/2018,1121,0
28/10/2018,1122,0
29/10/2018,1123,0
30/10/2018,1124,0
31/10/2018,1125,0
01/11/2018,1126,0
02/11/2018,1127,0
03/11/2018,1128,0
04/11/2018,1129,0
05/11/2018,1130,0
06/11/2018,1131,0
07/11/2018,1132,0
08/11/2018,1133,0
09/11/2018,1134,0
10/11/2018,1135,0
11/11/2018,1136,0
12/11/2018,1137,0
13/11/2018,1138,0
14/11/2018,1139,0
15/11/2018,1140,0
16/11/2018,1141,0
17/11/2018,1142,0
18/11/2018,1143,0
19/11/2018,1144,0
20/11/2018,1145,0
21/11/2018,1146,0
22/11/2018,1147,0
23/11/2018,1148,0
24/11/2018,1149,0
25/11/2018,1150,0
26/11/2018,1151,0
27/11/2018,1152,0
28/11/2018,1153,0
29/11/2018,1154,0
30/11/2018,1155,0
01/12/2018,1156,0
02/12/2018,1157,0
03/12/2018,1158,0
04/12/2018,1159,0
05/12/2018,1160,0
06/12/2018,1161,0
07/12/2018,1162,0
08/12/2018,1163,0
09/12/2018,1164,0
10/12/2018,1165,0
11/12/2018,1166,0
12/12/2018,1167,0
13/12/2018,1168,0
14/12/2018,1169,0
15/12/2018,1170,0
16/12/2018,1171,0
17/12/2018,1172,0
18/12/2018,1173,0
