"","median","vector_days","Temperature"
"X2016.06.15.10.00.00","290.7221",2016-06-15,17.5721
"X2016.06.16.10.00.00","289.8929",2016-06-16,16.7429
"X2016.06.17.10.00.00","289.0594",2016-06-17,15.9094
"X2016.06.18.10.00.00","290.0575",2016-06-18,16.9075
"X2016.06.19.10.00.00","290.9365",2016-06-19,17.7865
"X2016.06.20.10.00.00","290.4286",2016-06-20,17.2786
"X2016.06.21.10.00.00","289.0046",2016-06-21,15.8546
"X2016.06.22.10.00.00","289.2040",2016-06-22,16.054
"X2016.06.23.10.00.00","290.0283",2016-06-23,16.8783
"X2016.06.24.10.00.00","291.5107",2016-06-24,18.3607
"X2016.06.25.10.00.00","291.6446",2016-06-25,18.4946
"X2016.06.26.10.00.00","291.0519",2016-06-26,17.9019
"X2016.06.27.10.00.00","290.9942",2016-06-27,17.8442
"X2016.06.28.10.00.00","291.0356",2016-06-28,17.8856
"X2016.06.29.10.00.00","290.8233",2016-06-29,17.6733
"X2016.06.30.10.00.00","290.3987",2016-06-30,17.2487
"X2016.07.01.10.00.00","292.1575",2016-07-01,19.0075000000001
"X2016.07.02.10.00.00","286.8425",2016-07-02,13.6925
"X2016.07.03.10.00.00","287.2479",2016-07-03,14.0979
"X2016.07.04.10.00.00","290.0596",2016-07-04,16.9096
"X2016.07.05.10.00.00","291.0477",2016-07-05,17.8977
"X2016.07.06.10.00.00","289.3779",2016-07-06,16.2279
"X2016.07.07.10.00.00","288.3385",2016-07-07,15.1885
"X2016.07.08.10.00.00","289.3401",2016-07-08,16.1901
"X2016.07.09.10.00.00","290.3332",2016-07-09,17.1832
"X2016.07.10.10.00.00","290.3909",2016-07-10,17.2409
"X2016.07.11.10.00.00","291.5684",2016-07-11,18.4184
"X2016.07.12.10.00.00","292.3328",2016-07-12,19.1828
"X2016.07.13.10.00.00","290.8347",2016-07-13,17.6847
"X2016.07.14.10.00.00","291.6040",2016-07-14,18.454
"X2016.07.15.10.00.00","291.1089",2016-07-15,17.9589
"X2016.07.16.10.00.00","292.8058",2016-07-16,19.6558
"X2016.07.17.10.00.00","291.4238",2016-07-17,18.2738000000001
"X2016.07.18.10.00.00","292.4297",2016-07-18,19.2797
"X2016.07.19.10.00.00","293.3052",2016-07-19,20.1552
"X2016.07.20.10.00.00","293.7091",2016-07-20,20.5591
"X2016.07.21.10.00.00","293.8886",2016-07-21,20.7386
"X2016.07.22.10.00.00","292.1376",2016-07-22,18.9876
"X2016.07.23.10.00.00","289.1385",2016-07-23,15.9885
"X2016.07.24.10.00.00","288.0115",2016-07-24,14.8615
"X2016.07.25.10.00.00","284.6762",2016-07-25,11.5262
"X2016.07.26.10.00.00","285.7341",2016-07-26,12.5841
"X2016.07.27.10.00.00","284.9626",2016-07-27,11.8126
"X2016.07.28.10.00.00","284.8208",2016-07-28,11.6708
"X2016.07.29.10.00.00","287.6781",2016-07-29,14.5281
"X2016.07.30.10.00.00","288.2039",2016-07-30,15.0539
"X2016.07.31.10.00.00","288.7282",2016-07-31,15.5782
"X2016.08.01.10.00.00","288.5843",2016-08-01,15.4343
"X2016.08.02.10.00.00","288.8642",2016-08-02,15.7142
"X2016.08.03.10.00.00","286.1529",2016-08-03,13.0029
"X2016.08.04.10.00.00","287.1738",2016-08-04,14.0238000000001
"X2016.08.05.10.00.00","289.1570",2016-08-05,16.007
"X2016.08.06.10.00.00","291.1951",2016-08-06,18.0451
"X2016.08.07.10.00.00","292.4418",2016-08-07,19.2918
"X2016.08.08.10.00.00","290.5796",2016-08-08,17.4296000000001
"X2016.08.09.10.00.00","290.0952",2016-08-09,16.9452
"X2016.08.10.10.00.00","292.4012",2016-08-10,19.2512
"X2016.08.11.10.00.00","293.6891",2016-08-11,20.5391
"X2016.08.12.10.00.00","294.2740",2016-08-12,21.124
"X2016.08.13.10.00.00","294.8802",2016-08-13,21.7302
"X2016.08.14.10.00.00","293.3479",2016-08-14,20.1979
"X2016.08.15.10.00.00","293.9691",2016-08-15,20.8191
"X2016.08.16.10.00.00","294.4792",2016-08-16,21.3292
"X2016.08.17.10.00.00","292.9198",2016-08-17,19.7698
"X2016.08.18.10.00.00","294.5782",2016-08-18,21.4282
"X2016.08.19.10.00.00","295.7358",2016-08-19,22.5858
"X2016.08.20.10.00.00","296.4802",2016-08-20,23.3302
"X2016.08.21.10.00.00","294.5183",2016-08-21,21.3683
"X2016.08.22.10.00.00","290.9102",2016-08-22,17.7602
"X2016.08.23.10.00.00","291.4502",2016-08-23,18.3002
"X2016.08.24.10.00.00","295.1032",2016-08-24,21.9532
"X2016.08.25.10.00.00","296.8150",2016-08-25,23.665
"X2016.08.26.10.00.00","299.2328",2016-08-26,26.0828
"X2016.08.27.10.00.00","298.6195",2016-08-27,25.4695
"X2016.08.28.10.00.00","300.2993",2016-08-28,27.1493
"X2016.08.29.10.00.00","300.5258",2016-08-29,27.3758
"X2016.08.30.10.00.00","301.3814",2016-08-30,28.2314
"X2016.08.31.10.00.00","300.9254",2016-08-31,27.7754
"X2016.09.01.10.00.00","300.9126",2016-09-01,27.7626
"X2016.09.02.10.00.00","301.9242",2016-09-02,28.7742
"X2016.09.03.10.00.00","302.0182",2016-09-03,28.8682
"X2016.09.04.10.00.00","301.4583",2016-09-04,28.3083
"X2016.09.05.10.00.00","301.6677",2016-09-05,28.5177
"X2016.09.06.10.00.00","303.0597",2016-09-06,29.9097
"X2016.09.07.10.00.00","303.8006",2016-09-07,30.6506
"X2016.09.08.10.00.00","302.7085",2016-09-08,29.5585
"X2016.09.09.10.00.00","300.8528",2016-09-09,27.7028
"X2016.09.10.10.00.00","300.5593",2016-09-10,27.4093
"X2016.09.11.10.00.00","298.8147",2016-09-11,25.6647
"X2016.09.12.10.00.00","300.5685",2016-09-12,27.4185
"X2016.09.13.10.00.00","300.4831",2016-09-13,27.3331
"X2016.09.14.10.00.00","300.7359",2016-09-14,27.5859
"X2016.09.15.10.00.00","301.6934",2016-09-15,28.5434
"X2016.09.16.10.00.00","298.3196",2016-09-16,25.1696
"X2016.09.17.10.00.00","296.2102",2016-09-17,23.0602
"X2016.09.18.10.00.00","297.9812",2016-09-18,24.8312
"X2016.09.19.10.00.00","297.9100",2016-09-19,24.76
"X2016.09.20.10.00.00","301.4020",2016-09-20,28.252
"X2016.09.21.10.00.00","303.0526",2016-09-21,29.9026
"X2016.09.22.10.00.00","303.1231",2016-09-22,29.9731
"X2016.09.23.10.00.00","303.1381",2016-09-23,29.9881
"X2016.09.24.10.00.00","303.5220",2016-09-24,30.372
"X2016.09.25.10.00.00","304.2515",2016-09-25,31.1015
"X2016.09.26.10.00.00","304.6155",2016-09-26,31.4655
"X2016.09.27.10.00.00","302.7740",2016-09-27,29.624
"X2016.09.28.10.00.00","298.5860",2016-09-28,25.436
"X2016.09.29.10.00.00","299.0547",2016-09-29,25.9047
"X2016.09.30.10.00.00","301.2973",2016-09-30,28.1473
"X2016.10.01.10.00.00","303.6894",2016-10-01,30.5394
"X2016.10.02.10.00.00","298.8631",2016-10-02,25.7131
"X2016.10.03.10.00.00","298.7869",2016-10-03,25.6369
"X2016.10.04.10.00.00","300.4524",2016-10-04,27.3024
"X2016.10.05.10.00.00","303.6837",2016-10-05,30.5337
"X2016.10.06.10.00.00","305.7311",2016-10-06,32.5811
"X2016.10.07.10.00.00","305.5801",2016-10-07,32.4301
"X2016.10.08.10.00.00","297.4405",2016-10-08,24.2905
"X2016.10.09.10.00.00","299.9124",2016-10-09,26.7624
"X2016.10.10.10.00.00","301.8437",2016-10-10,28.6937
"X2016.10.11.10.00.00","306.0346",2016-10-11,32.8846
"X2016.10.12.10.00.00","305.5516",2016-10-12,32.4016
"X2016.10.13.10.00.00","307.0255",2016-10-13,33.8755
"X2016.10.14.10.00.00","307.9765",2016-10-14,34.8265
"X2016.10.15.10.00.00","307.6709",2016-10-15,34.5209
"X2016.10.16.10.00.00","306.8559",2016-10-16,33.7059
"X2016.10.17.10.00.00","304.6519",2016-10-17,31.5019
"X2016.10.18.10.00.00","303.0141",2016-10-18,29.8641
"X2016.10.19.10.00.00","305.0451",2016-10-19,31.8951
"X2016.10.20.10.00.00","301.7226",2016-10-20,28.5726
"X2016.10.21.10.00.00","302.7548",2016-10-21,29.6048
"X2016.10.22.10.00.00","304.5350",2016-10-22,31.385
"X2016.10.23.10.00.00","305.8088",2016-10-23,32.6588
"X2016.10.24.10.00.00","306.3758",2016-10-24,33.2258
"X2016.10.25.10.00.00","308.3726",2016-10-25,35.2226
"X2016.10.26.10.00.00","309.2830",2016-10-26,36.133
"X2016.10.27.10.00.00","311.8361",2016-10-27,38.6861
"X2016.10.28.10.00.00","312.5492",2016-10-28,39.3992
"X2016.10.29.10.00.00","312.6668",2016-10-29,39.5168
"X2016.10.30.10.00.00","312.9517",2016-10-30,39.8017
"X2016.10.31.10.00.00","313.6149",2016-10-31,40.4649
"X2016.11.01.10.00.00","314.4420",2016-11-01,41.292
"X2016.11.02.10.00.00","312.5920",2016-11-02,39.442
"X2016.11.03.10.00.00","311.1487",2016-11-03,37.9987
"X2016.11.04.10.00.00","310.8039",2016-11-04,37.6539
"X2016.11.05.10.00.00","306.0958",2016-11-05,32.9458
"X2016.11.06.10.00.00","304.6170",2016-11-06,31.467
"X2016.11.07.10.00.00","305.3749",2016-11-07,32.2249
"X2016.11.08.10.00.00","307.3026",2016-11-08,34.1526
"X2016.11.09.10.00.00","308.2771",2016-11-09,35.1271
"X2016.11.10.10.00.00","306.6287",2016-11-10,33.4787
"X2016.11.11.10.00.00","307.1031",2016-11-11,33.9531
"X2016.11.12.10.00.00","305.2567",2016-11-12,32.1067
"X2016.11.13.10.00.00","306.7434",2016-11-13,33.5934
"X2016.11.14.10.00.00","307.4415",2016-11-14,34.2915
"X2016.11.15.10.00.00","306.4777",2016-11-15,33.3277
"X2016.11.16.10.00.00","307.9288",2016-11-16,34.7788
"X2016.11.17.10.00.00","307.0668",2016-11-17,33.9168
"X2016.11.18.10.00.00","306.1457",2016-11-18,32.9957
"X2016.11.19.10.00.00","308.4460",2016-11-19,35.296
"X2016.11.20.10.00.00","308.1653",2016-11-20,35.0153
"X2016.11.21.10.00.00","307.9152",2016-11-21,34.7652
"X2016.11.22.10.00.00","312.2258",2016-11-22,39.0758
"X2016.11.23.10.00.00","306.8545",2016-11-23,33.7045
"X2016.11.24.10.00.00","306.3993",2016-11-24,33.2493
"X2016.11.25.10.00.00","307.4358",2016-11-25,34.2858
"X2016.11.26.10.00.00","308.2130",2016-11-26,35.063
"X2016.11.27.10.00.00","308.3263",2016-11-27,35.1763
"X2016.11.28.10.00.00","312.6889",2016-11-28,39.5389
"X2016.11.29.10.00.00","315.2684",2016-11-29,42.1184
"X2016.11.30.10.00.00","314.6863",2016-11-30,41.5363
"X2016.12.01.10.00.00","313.6035",2016-12-01,40.4535
"X2016.12.02.10.00.00","314.3793",2016-12-02,41.2293
"X2016.12.03.10.00.00","314.0887",2016-12-03,40.9387
"X2016.12.04.10.00.00","317.5152",2016-12-04,44.3652
"X2016.12.05.10.00.00","314.2055",2016-12-05,41.0555
"X2016.12.06.10.00.00","311.7072",2016-12-06,38.5572
"X2016.12.07.10.00.00","312.8242",2016-12-07,39.6742
"X2016.12.08.10.00.00","311.3660",2016-12-08,38.216
"X2016.12.09.10.00.00","310.4506",2016-12-09,37.3006
"X2016.12.10.10.00.00","313.1462",2016-12-10,39.9962
"X2016.12.11.10.00.00","312.7330",2016-12-11,39.583
"X2016.12.12.10.00.00","311.5184",2016-12-12,38.3684
"X2016.12.13.10.00.00","310.9093",2016-12-13,37.7593
"X2016.12.14.10.00.00","308.1332",2016-12-14,34.9832
"X2016.12.15.10.00.00","308.6205",2016-12-15,35.4705
"X2016.12.16.10.00.00","310.1293",2016-12-16,36.9793
"X2016.12.17.10.00.00","311.2620",2016-12-17,38.112
"X2016.12.18.10.00.00","312.9852",2016-12-18,39.8352
"X2016.12.19.10.00.00","315.9793",2016-12-19,42.8293
"X2016.12.20.10.00.00","316.5250",2016-12-20,43.375
"X2016.12.21.10.00.00","316.0741",2016-12-21,42.9241
"X2016.12.22.10.00.00","315.1850",2016-12-22,42.035
"X2016.12.23.10.00.00","313.5280",2016-12-23,40.378
"X2016.12.24.10.00.00","309.6655",2016-12-24,36.5155
"X2016.12.25.10.00.00","309.3806",2016-12-25,36.2306
"X2016.12.26.10.00.00","303.2556",2016-12-26,30.1056
"X2016.12.27.10.00.00","307.7443",2016-12-27,34.5943
"X2016.12.28.10.00.00","307.1017",2016-12-28,33.9517
"X2016.12.29.10.00.00","308.1553",2016-12-29,35.0053
"X2016.12.30.10.00.00","308.1040",2016-12-30,34.954
"X2016.12.31.10.00.00","310.5076",2016-12-31,37.3576
"X2017.01.01.10.00.00","313.1996",2017-01-01,40.0496
"X2017.01.02.10.00.00","312.7003",2017-01-02,39.5503
"X2017.01.03.10.00.00","298.3723",2017-01-03,25.2223
"X2017.01.04.10.00.00","297.8138",2017-01-04,24.6638
"X2017.01.05.10.00.00","295.9531",2017-01-05,22.8031
"X2017.01.06.10.00.00","295.0341",2017-01-06,21.8841
"X2017.01.07.10.00.00","300.5229",2017-01-07,27.3729
"X2017.01.08.10.00.00","300.3655",2017-01-08,27.2155
"X2017.01.09.10.00.00","301.5623",2017-01-09,28.4123
"X2017.01.10.10.00.00","300.9432",2017-01-10,27.7932
