"X"	"A"	"F_risk"	"O_factor"	"imm_p"	"log.density"
"16221"	16221	0.099667239665265	0.0214304404707227	0.764526629383063	0.591600417881214	-191.997849799783
"16232"	16232	0.099667239665265	0.0214304404707227	0.764526629383063	0.591600417881214	-191.997849799783
"16243"	16243	0.0999047877968796	0.0193440056313596	0.75333053138855	0.592537348388415	-191.081566504802
"16254"	16254	0.0999047877968796	0.0193440056313596	0.75333053138855	0.592537348388415	-191.081566504802
"16265"	16265	0.0997353821301463	0.0291686793926171	0.777414846937881	0.613637685859679	-190.053939635396
"16276"	16276	0.0998610663219316	0.0310719452733487	0.783360577802552	0.616287634750538	-189.279680232383
"16287"	16287	0.0998610663219316	0.0310719452733487	0.783360577802552	0.616287634750538	-189.279680232383
"16298"	16298	0.0998610663219316	0.0310719452733487	0.783360577802552	0.616287634750538	-189.279680232383
"16309"	16309	0.0999060975742949	0.030340038048589	0.760821713136803	0.621283173791921	-188.906111383509
"16320"	16320	0.0999918302104888	0.0344166578169116	0.774132383735403	0.628709679699775	-188.709612987805
"16331"	16331	0.0999918302104888	0.0344166578169116	0.774132383735403	0.628709679699775	-188.709612987805
"16342"	16342	0.0999918302104888	0.0344166578169116	0.774132383735403	0.628709679699775	-188.709612987805
"16353"	16353	0.0999918302104888	0.0344166578169116	0.774132383735403	0.628709679699775	-188.709612987805
"16364"	16364	0.0995701328349276	0.0295845561102385	0.773560163728797	0.616974794104217	-191.376065993992
"16375"	16375	0.0997467045262484	0.0322555712992466	0.786074187332658	0.619509929447697	-190.168700375035
"16386"	16386	0.0997467045262484	0.0322555712992466	0.786074187332658	0.619509929447697	-190.168700375035
"16397"	16397	0.099712594547531	0.0295011382528702	0.786829326269529	0.612834720478773	-190.238213632877
"16408"	16408	0.0998912308150596	0.0214433317225508	0.751552993678393	0.609112563089613	-189.06416330693
"16419"	16419	0.0996638704251202	0.023764805651673	0.761362484878779	0.608760574298513	-190.401481514641
"16430"	16430	0.099870545198822	0.0238610314052718	0.741398665760877	0.622026627055366	-188.907122124141
"16441"	16441	0.099870545198822	0.0238610314052718	0.741398665760877	0.622026627055366	-188.907122124141
"16452"	16452	0.0999234443892617	0.0234965002163812	0.740252427606757	0.608876842536229	-189.010734122669
"16463"	16463	0.0999234443892617	0.0234965002163812	0.740252427606757	0.608876842536229	-189.010734122669
"16474"	16474	0.0999718842256607	0.0228470136803612	0.726126179062175	0.609685363627303	-188.682547225422
"16485"	16485	0.0999718842256607	0.0228470136803612	0.726126179062175	0.609685363627303	-188.682547225422
"16496"	16496	0.0998329037417179	0.0163900158962965	0.713246057747619	0.615498393637923	-188.825870554593
"16507"	16507	0.0998773159665873	0.00158347323767934	0.720752569167028	0.62002071207227	-187.914715466067
"16518"	16518	0.0998773159665873	0.00158347323767934	0.720752569167028	0.62002071207227	-187.914715466067
"16529"	16529	0.099796027962801	0.000650779943179628	0.732976719157942	0.620576949175169	-188.499893270101
"16540"	16540	0.0997866093084243	0.00107194726568209	0.725911424466832	0.612195911492133	-188.600949275008
"16551"	16551	0.0996842260758978	0.0073223099041117	0.689394195749118	0.615775093591822	-189.485259460651
"16562"	16562	0.0996842260758978	0.0073223099041117	0.689394195749118	0.615775093591822	-189.485259460651
"16573"	16573	0.0999608106534594	0.0125078773967594	0.672499336010976	0.610723502951644	-188.204822665178
"16584"	16584	0.0999608106534594	0.0125078773967594	0.672499336010976	0.610723502951644	-188.204822665178
"16595"	16595	0.0999608106534594	0.0125078773967594	0.672499336010976	0.610723502951644	-188.204822665178
"16606"	16606	0.0999608106534594	0.0125078773967594	0.672499336010976	0.610723502951644	-188.204822665178
"16617"	16617	0.0999608106534594	0.0125078773967594	0.672499336010976	0.610723502951644	-188.204822665178
"16628"	16628	0.0999249902154449	0.0117563585954499	0.665136774079437	0.614756282363182	-188.095572803935
"16639"	16639	0.0999249902154449	0.0117563585954499	0.665136774079437	0.614756282363182	-188.095572803935
"16650"	16650	0.0999249902154449	0.0117563585954499	0.665136774079437	0.614756282363182	-188.095572803935
"16661"	16661	0.0998770427191119	0.0148281539587444	0.669226869078941	0.614032921591347	-188.522153584871
"16672"	16672	0.0998770427191119	0.0148281539587444	0.669226869078941	0.614032921591347	-188.522153584871
"16683"	16683	0.0998770427191119	0.0148281539587444	0.669226869078941	0.614032921591347	-188.522153584871
