date,time,obs
27/03/2006,451,0
28/03/2006,452,0
29/03/2006,453,0
30/03/2006,454,0
31/03/2006,455,0
01/04/2006,456,0
02/04/2006,457,0
03/04/2006,458,0
04/04/2006,459,0
05/04/2006,460,0
06/04/2006,461,0
07/04/2006,462,0
08/04/2006,463,0
09/04/2006,464,0
10/04/2006,465,0
11/04/2006,466,0
12/04/2006,467,0
13/04/2006,468,0
14/04/2006,469,0
15/04/2006,470,0
16/04/2006,471,0
17/04/2006,472,0
18/04/2006,473,0
19/04/2006,474,0
20/04/2006,475,0
21/04/2006,476,0
22/04/2006,477,0
23/04/2006,478,0
24/04/2006,479,0
25/04/2006,480,0
26/04/2006,481,0
27/04/2006,482,0
28/04/2006,483,0
29/04/2006,484,0
30/04/2006,485,0
01/05/2006,486,0
02/05/2006,487,0
03/05/2006,488,0
04/05/2006,489,0
05/05/2006,490,0
06/05/2006,491,0
07/05/2006,492,0
08/05/2006,493,0
09/05/2006,494,0
10/05/2006,495,0
11/05/2006,496,0
12/05/2006,497,0
13/05/2006,498,0
14/05/2006,499,0
15/05/2006,500,0
16/05/2006,501,0
17/05/2006,502,0
18/05/2006,503,0
19/05/2006,504,0
20/05/2006,505,0
21/05/2006,506,0
22/05/2006,507,0
23/05/2006,508,0
24/05/2006,509,0
25/05/2006,510,0
26/05/2006,511,0
27/05/2006,512,0
28/05/2006,513,0
29/05/2006,514,0
30/05/2006,515,0
31/05/2006,516,0
01/06/2006,517,0
02/06/2006,518,0
03/06/2006,519,0
04/06/2006,520,0
05/06/2006,521,0
06/06/2006,522,0
07/06/2006,523,0
08/06/2006,524,0
09/06/2006,525,0
10/06/2006,526,0
11/06/2006,527,0
12/06/2006,528,0
13/06/2006,529,0
14/06/2006,530,0
15/06/2006,531,0
16/06/2006,532,0
17/06/2006,533,0
18/06/2006,534,0
19/06/2006,535,0
20/06/2006,536,0
21/06/2006,537,0
22/06/2006,538,0
23/06/2006,539,0
24/06/2006,540,0
25/06/2006,541,0
26/06/2006,542,0
27/06/2006,543,0
28/06/2006,544,0
29/06/2006,545,0
30/06/2006,546,0
01/07/2006,547,0
02/07/2006,548,0
03/07/2006,549,0
04/07/2006,550,0
05/07/2006,551,0
06/07/2006,552,0
07/07/2006,553,0
08/07/2006,554,0
09/07/2006,555,0
10/07/2006,556,0
11/07/2006,557,0
12/07/2006,558,0
13/07/2006,559,0
14/07/2006,560,0
15/07/2006,561,0
16/07/2006,562,0
17/07/2006,563,0
18/07/2006,564,0
19/07/2006,565,0
20/07/2006,566,0
21/07/2006,567,0
22/07/2006,568,0
